,Accession number,UniProt Annotation Status,Description,Cluster numbers
420,Q245K9,TrEMBL,Histone acetyltransferase GCN5 ,1
421,B4JMY6,TrEMBL,GH24713 ,1
422,A0A059ETP5,TrEMBL,Uncharacterized protein ,1
423,A0A0D8Y212,TrEMBL,Bromodomain protein ,1
424,A0A177BB33,TrEMBL,Uncharacterized protein ,1
425,A0A1E4TEP3,TrEMBL,Uncharacterized protein ,1
426,A0A058Z2B2,TrEMBL,Uncharacterized protein ,1
427,A0A0F7U843,TrEMBL,Bromodomain containing protein,1
428,A0A1J1H2T0,TrEMBL,Histone acetyltransferase GCN5,1
429,A0A1E5RGS3,TrEMBL,Histone acetyltransferase GCN5 ,1
430,A8XL19,TrEMBL,Protein CBR-PCAF-1 ,1
431,M4IV98,TrEMBL,Histone acetyltransferase 1 ,1
432,A0A0F7SH27,TrEMBL,Histone acetyltransferase ,1
433,X0L3R1,TrEMBL,Histone acetyltransferase ,1
434,A0A1B1DVP8,TrEMBL,Histone acetyltransferase gcn5 ,1
435,A9BK97,TrEMBL,Hat ,1
436,A0A197JPF4,TrEMBL,Uncharacterized protein ,1
437,A0A1J1HUA9,TrEMBL,CLUMA_CG005241,1
438,A0A167XWG9,TrEMBL,Histone acetyltransferase GCN5 ,1
439,A0A168G201,TrEMBL,Histone acetyltransferase GCN5 ,1
440,A0A1E7FHJ9,TrEMBL,Acyl-CoA N-acyltransferase ,1
441,B2ASA3,TrEMBL,Podospora anserina S mat+ genomic DNA chromosome 1,1
442,A0A1B2JFP3,TrEMBL,BA75_03386T0 ,1
443,E1ZTG5,TrEMBL,Uncharacterized protein ,1
444,D4DHX7,TrEMBL,Uncharacterized protein ,1
445,E3LM03,TrEMBL,CRE-PCAF-1 protein ,1
446,A0A1D1VUQ9,TrEMBL,Uncharacterized protein ,2
447,A0A183TGB3,TrEMBL,Uncharacterized protein ,2
448,A0A1W4WHB8,TrEMBL,N-alpha-acetyltransferase 30 ,2
449,A0A183ITI5,TrEMBL,Uncharacterized protein ,2
450,A0A0N5CNM3,TrEMBL,Uncharacterized protein ,2
451,A0A1A0HGD0,TrEMBL,Acyl-CoA N-acyltransferase ,2
452,A0A1Y1UC04,TrEMBL,Acyl-CoA N-acyltransferase ,2
453,A0A1W4W646,TrEMBL,N-alpha-acetyltransferase 30 ,2
454,A0A1A6AE49,TrEMBL,Uncharacterized protein ,2
455,Q00VP8,TrEMBL,Acyl-CoA N-acyltransferase ,2
456,A0A1Y1W3D7,TrEMBL,Uncharacterized protein ,2
457,T1IML4,TrEMBL,Uncharacterized protein ,2
458,A0A1Y1V1P5,TrEMBL,Acyl-CoA N-acyltransferase ,2
459,A0A183QAY9,TrEMBL,Uncharacterized protein ,2
460,A0A183KPG8,TrEMBL,Uncharacterized protein ,2
461,T1KSB5,TrEMBL,Uncharacterized protein ,2
462,A0A1X6P248,TrEMBL,Uncharacterized protein ,2
463,Q03503,SwissProt,N-alpha-acetyltransferase 30,2
464,A0A1B0GPM5,TrEMBL,Uncharacterized protein ,2
465,A0A1B7TD93,TrEMBL,Acyl-CoA N-acyltransferase ,2
466,U4LCD1,TrEMBL,Similar to N-alpha-acetyltransferase 30 acc. no. O74311 ,2
467,J3KNC2,TrEMBL,N-alpha-acetyltransferase 30 ,2
468,A0A1B2J9U6,TrEMBL,BA75_00243T0 ,2
469,A0A1Y1IKU3,TrEMBL,Peptide alpha-N-acetyltransferase ,2
470,A0A1B6I824,TrEMBL,Uncharacterized protein ,2
471,A0A0P9EJ80,TrEMBL,Uncharacterized protein ,2
472,Q0IHH1,SwissProt,N-alpha-acetyltransferase 30,2
473,A0A075ACZ9,TrEMBL,Uncharacterized protein ,2
474,Q29FG4,TrEMBL,Uncharacterized protein ,2
475,Q54MP9,SwissProt,N-alpha-acetyltransferase 30,2
476,A0A1B6DB49,TrEMBL,Uncharacterized protein ,2
477,U5H1W4,TrEMBL,Uncharacterized protein ,2
478,A0A1X7UB46,TrEMBL,Uncharacterized protein ,2
479,A0A0P6BVM4,TrEMBL,N-alpha-acetyltransferase ,2
480,A0A196SLJ5,TrEMBL,Uncharacterized protein ,2
481,A0A0P6HGV6,TrEMBL,N-alpha-acetyltransferase ,2
482,A0A0P7UR58,TrEMBL,Uncharacterized protein ,2
483,A0A0N7ZAU5,TrEMBL,Uncharacterized protein ,2
484,A0A0R1E9K3,TrEMBL,Uncharacterized protein,2
485,A0A1A9ZEQ4,TrEMBL,Uncharacterized protein ,2
486,T2MCQ8,TrEMBL,N-alpha-acetyltransferase 30,2
487,A0A0S6XCE7,TrEMBL,Uncharacterized protein ,2
488,A0A183UI27,TrEMBL,Uncharacterized protein ,2
489,J3NVA3,TrEMBL,N-terminal acetyltransferase C complex catalytic subunit MAK3 ,2
490,Q5D8G3,TrEMBL,SJCHGC03286 protein ,2
491,A0A077R0V9,TrEMBL,Related to MAK3 N-acetyltransferase ,2
492,A0A1A6FTG6,TrEMBL,Uncharacterized protein ,2
493,I2G332,TrEMBL,Related to MAK3 N-acetyltransferase ,2
494,Q147X3,SwissProt,N-alpha-acetyltransferase 30,2
495,A0A1Y1LTY8,TrEMBL,Uncharacterized protein ,2
496,A0A061H7P5,TrEMBL,Uncharacterized protein ,2
497,A0A075AQM9,TrEMBL,GNAT domain-containing protein ,2
498,A0A059BDJ7,TrEMBL,Uncharacterized protein ,2
499,I2GY97,TrEMBL,Uncharacterized protein ,2
500,A0A0R3SAH6,TrEMBL,Uncharacterized protein ,2
501,A0A1B9H6N4,TrEMBL,Uncharacterized protein ,2
502,A0A197KIV6,TrEMBL,Acyl-CoA N-acyltransferase ,2
503,A0A059LGL8,TrEMBL,Uncharacterized protein ,2
504,A0A0P1BE48,TrEMBL,N-acetyltransferase ,2
505,A0A1B9IX68,TrEMBL,Peptide alpha-N-acetyltransferase ,2
506,R7U8L3,TrEMBL,Uncharacterized protein ,2
507,A0A183FZC7,TrEMBL,Uncharacterized protein ,2
508,A0A151Z770,TrEMBL,Putative acetyltransferase ,2
509,R1BM09,TrEMBL,Uncharacterized protein ,2
510,A0A1L9TNL9,TrEMBL,Uncharacterized protein ,2
511,A0A1G4J4P1,TrEMBL,LADA_0D02014g1_1 ,2
512,A0A1F8AE52,TrEMBL,Acetyltransferase ,2
513,A0A151GUF2,TrEMBL,WD40 repeat-like-containing domain protein ,2
514,A0A1L9WSN8,TrEMBL,Uncharacterized protein ,2
515,A0A1E7F905,TrEMBL,Putative N-acetyltransferase ,2
516,R0FYS0,TrEMBL,Uncharacterized protein ,2
517,M5G9T9,TrEMBL,Acyl-CoA N-acyltransferase ,2
518,A0A1E5UVZ0,TrEMBL,Uncharacterized protein ,2
519,A0A1M8A8A4,TrEMBL,Similar to S.cerevisiae protein MAK3 (Catalytic subunit of the NatC type N-terminal acetyltransferase) ,2
520,A0A090LLB1,TrEMBL,N-alpha-acetyltransferase 30 ,2
521,A0A1E5RE08,TrEMBL,N-alpha-acetyltransferase 30 ,2
522,A0A176WQX7,TrEMBL,Uncharacterized protein ,2
523,A0A177B8A2,TrEMBL,N-alpha-acetyltransferase 30 ,2
524,A0A146TRR6,TrEMBL,N-alpha-acetyltransferase 30 ,2
525,A0A1Q3E3B5,TrEMBL,Acyl-N-acyltransferase ,2
526,A0A1E4T428,TrEMBL,Uncharacterized protein ,2
527,A0A085LTZ1,TrEMBL,Uncharacterized protein ,2
528,A0A1Q3F566,TrEMBL,Putative n-acetyltransferase mak3 ,2
529,M7SX68,TrEMBL,Putative n-terminal acetyltransferase c complex catalytic subunit mak3 protein ,2
530,A0A146K5Y3,TrEMBL,Acetyltransferase (GNAT) domain-containing protein ,2
531,A0A099P7Q8,TrEMBL,N-alpha-acetyltransferase 30 ,2
532,A0A146ILQ1,TrEMBL,N-acetyltransferase MAK3 ,2
533,S4PG19,TrEMBL,N-terminal acetyltransferase C complex catalytic subunit Mak3 ,2
534,A0A1E4TNT2,TrEMBL,Uncharacterized protein ,2
535,A0A026VXR9,TrEMBL,N-alpha-acetyltransferase 30,2
536,L8HFL2,TrEMBL,LA virus GAG protein N-acetyltransferase ,2
537,A0A1I7RNV1,TrEMBL,Uncharacterized protein ,2
538,A0A165G717,TrEMBL,Putative GNAT family acetyltransferase ,2
539,A0A1J1IEK1,TrEMBL,CLUMA_CG010819,2
540,A0A1J4JDT6,TrEMBL,Acetyltransferase,2
541,A0A165NB96,TrEMBL,Acyl-CoA N-acyltransferase ,2
542,A0A165CZ36,TrEMBL,Acyl-CoA N-acyltransferase ,2
543,A0A087SI78,TrEMBL,N-alpha-acetyltransferase 30 ,2
544,A0A163Z0B9,TrEMBL,Uncharacterized protein ,2
545,A0A162VC67,TrEMBL,N-acetyltransferase ,2
546,A0A1I8P3P9,TrEMBL,Uncharacterized protein ,2
547,A0A1I8NDY4,TrEMBL,Uncharacterized protein ,2
548,A0A166B6S5,TrEMBL,Acyl-CoA N-acyltransferase ,2
549,M1VM71,TrEMBL,Probable N-acetyltransferase MAK3 ,2
550,A0A087UK59,TrEMBL,N-alpha-acetyltransferase 30 ,2
551,A0A1I8HGB1,TrEMBL,Uncharacterized protein ,2
552,R7QUF6,TrEMBL,Uncharacterized protein ,2
553,A0A1I8D5H0,TrEMBL,Uncharacterized protein ,2
554,A0A1J9SAX7,TrEMBL,Acyl-n-acyltransferase ,2
555,M2X584,TrEMBL,N-acetyltransferase MAK3 ,2
556,A0A166N1D7,TrEMBL,Acetyltransferase ,2
557,A0A1L0B5S1,TrEMBL,Related to N-alpha-acetyltransferase 30 ,2
558,A0A1L0GDC7,TrEMBL,CIC11C00000004333 ,2
559,A0A1I8A5J8,TrEMBL,Fanconi-associated nuclease ,2
560,R9AFZ5,TrEMBL,N-alpha-acetyltransferase 30 ,2
561,M3BWQ4,TrEMBL,Acyl-CoA N-acyltransferase ,2
562,A0A1L8DAR1,TrEMBL,Uncharacterized protein ,2
563,R9P4Z6,TrEMBL,Potential peptide N-acetyl transferase ,2
564,A0A158NA43,TrEMBL,Uncharacterized protein ,2
565,K8EXH4,TrEMBL,Uncharacterized protein ,2
566,A0A177TRB3,TrEMBL,Uncharacterized protein ,2
567,A0A1R2BAT6,TrEMBL,Uncharacterized protein ,2
568,A0A139I6M5,TrEMBL,Uncharacterized protein ,2
569,A0A1V6P4T6,TrEMBL,Uncharacterized protein ,2
570,A0A182GC15,TrEMBL,Uncharacterized protein ,2
571,A0A1D8NAP7,TrEMBL,Acyl-CoA N-acyltransferase ,2
572,A0A182IKW2,TrEMBL,Uncharacterized protein ,2
573,S9PWW0,TrEMBL,NatC N-acetyltransferase complex catalytic subunit ,2
574,K0SS61,TrEMBL,Uncharacterized protein ,2
575,A0A1D6QIS1,TrEMBL,Putative acyl-CoA N-acyltransferase (NAT) family protein ,2
576,A0A1D6QIS0,TrEMBL,Putative acyl-CoA N-acyltransferase (NAT) family protein ,2
577,S9VEI1,TrEMBL,Peptide alpha-N-acetyltransferase ,2
578,A0A1V8SQ15,TrEMBL,Uncharacterized protein ,2
579,A0A182PK53,TrEMBL,Uncharacterized protein ,2
580,N6T5N0,TrEMBL,Uncharacterized protein ,2
581,A0A182QDN3,TrEMBL,Uncharacterized protein ,2
582,A0A0W4ZRR8,TrEMBL,Uncharacterized protein ,2
583,A0A182RY83,TrEMBL,Uncharacterized protein ,2
584,A0A0W0FHH1,TrEMBL,Uncharacterized protein ,2
585,J9JK86,TrEMBL,Uncharacterized protein ,2
586,A0A0W0CYA4,TrEMBL,N-alpha-acetyltransferase 30 ,2
587,A0A1D2VKF0,TrEMBL,GAG protein N-acetyltransferase ,2
588,A0A1V9XZD9,TrEMBL,Acyltransfersase-like ,2
589,A0A183BUJ9,TrEMBL,Uncharacterized protein ,2
590,J9EDN0,TrEMBL,Uncharacterized protein ,2
591,A0A1W0A0Y5,TrEMBL,Uncharacterized protein ,2
592,O74311,SwissProt,N-alpha-acetyltransferase 30,2
593,A0A0V0QM00,TrEMBL,Acyl-CoA N-acyltransferase ,2
594,O80438,SwissProt,N-alpha-acetyltransferase MAK3,2
595,A0A183FEJ0,TrEMBL,Uncharacterized protein ,2
596,A0A1E3HTL3,TrEMBL,Uncharacterized protein ,2
597,A0A1W0XCB4,TrEMBL,Putative N-alpha-acetyltransferase 30 ,2
598,A0A1U7LHQ5,TrEMBL,N-alpha-acetyltransferase 30 ,2
599,A0A131XHD8,TrEMBL,Uncharacterized protein ,2
600,A0A1E4S461,TrEMBL,Acyl-CoA N-acyltransferase ,2
601,A0A139AAW2,TrEMBL,Putative acyltransfersase ,2
602,A0A1E4RG80,TrEMBL,GAG protein N-acetyltransferase ,2
603,A0A1E3QXF3,TrEMBL,Uncharacterized protein ,2
604,A0A1E3Q569,TrEMBL,Uncharacterized protein ,2
605,M7UH74,TrEMBL,Putative n-terminal acetyltransferase c complex catalytic subunit mak3 protein ,2
606,A0A137PI95,TrEMBL,Putative acyltransfersase ,2
607,A0A060T4B6,TrEMBL,ARAD1A15598p ,2
608,Q95RC0,SwissProt,N-alpha-acetyltransferase 30A,2
609,A0A1S3HJ17,TrEMBL,N-alpha-acetyltransferase 30-like ,2
610,A0A0A9W870,TrEMBL,N-alpha-acetyltransferase 30 ,2
611,A0A135UZ83,TrEMBL,Acetyltransferase ,2
612,A0A1S3SA86,TrEMBL,N-alpha-acetyltransferase 30-like ,2
613,A0A1S3SPP5,TrEMBL,N-alpha-acetyltransferase 30-like ,2
614,K5URW0,TrEMBL,Uncharacterized protein ,2
615,A0A132NWT0,TrEMBL,Acetyltransferase/ GNAT family ,2
616,K3ZJM7,TrEMBL,Uncharacterized protein ,2
617,M9MFY0,TrEMBL,Uncharacterized protein ,2
618,A0A132AH55,TrEMBL,Acyltransferase-like protein 5 ,2
619,A0A061BAW7,TrEMBL,RHTO0S13e05556g1_1 ,2
620,N1J864,TrEMBL,Acetyltransferase,2
621,A0A1E3PEG6,TrEMBL,Acyl-CoA N-acyltransferase ,2
622,A0A1E3P273,TrEMBL,Uncharacterized protein ,2
623,N1PM40,TrEMBL,GNAT family acetyltransferase like protein ,2
624,Q8CES0,SwissProt,N-alpha-acetyltransferase 30,2
625,A0A1S8VSL0,TrEMBL,Uncharacterized protein ,2
626,A0A1E3ILF5,TrEMBL,Uncharacterized protein ,2
627,A0A118JCY7,TrEMBL,Uncharacterized protein ,2
628,A0A109FJW3,TrEMBL,Acyl-CoA N-acyltransferase ,2
629,D8SQ85,TrEMBL,Uncharacterized protein ,2
630,A0A232EZL2,TrEMBL,Uncharacterized protein ,2
631,A0A0D0Z564,TrEMBL,Unplaced genomic scaffold supercont2.1,2
632,A5E401,TrEMBL,L-A virus GAG protein N-acetyltransferase ,2
633,B4MLF3,TrEMBL,Uncharacterized protein ,2
634,A0A0D1XS28,TrEMBL,Uncharacterized protein ,2
635,A0A210QX77,TrEMBL,N-alpha-acetyltransferase 30 ,2
636,A0A0D1Y7M1,TrEMBL,Uncharacterized protein ,2
637,C5KDL0,TrEMBL,N-acetyltransferase,2
638,A0A0G4J1S1,TrEMBL,Uncharacterized protein ,2
639,A5DPN8,TrEMBL,Uncharacterized protein ,2
640,B4N1T3,TrEMBL,Uncharacterized protein ,2
641,F2U892,TrEMBL,N-alpha-acetyltransferase 30 ,2
642,B4PD91,TrEMBL,Uncharacterized protein ,2
643,G8Y3U3,TrEMBL,Piso0_004951 protein ,2
644,A0A0G4LX65,TrEMBL,Uncharacterized protein ,2
645,G1TGE7,TrEMBL,Uncharacterized protein ,2
646,G8JWR1,TrEMBL,Uncharacterized protein ,2
647,A0A0L0S8N4,TrEMBL,Uncharacterized protein ,2
648,G1X672,TrEMBL,Uncharacterized protein ,2
649,E4ZS69,TrEMBL,Uncharacterized protein ,2
650,C4Y1P5,TrEMBL,Uncharacterized protein ,2
651,A0A0L0P5J0,TrEMBL,Uncharacterized protein ,2
652,A0A0H2RYG5,TrEMBL,Acyl-CoA N-acyltransferase ,2
653,W2T0Y3,TrEMBL,Acetyltransferase,2
654,A0A0G4IA05,TrEMBL,Uncharacterized protein ,2
655,A0A0L0UQF8,TrEMBL,Uncharacterized protein ,2
656,A0A1Z5TG05,TrEMBL,Uncharacterized protein ,2
657,G0W4E7,TrEMBL,Uncharacterized protein ,2
658,A0A067MNE1,TrEMBL,Uncharacterized protein ,2
659,B4IXI8,TrEMBL,GH15207 ,2
660,B4JLA9,TrEMBL,GH12823 ,2
661,G0SAZ9,TrEMBL,N-terminal acetyltransferase C complex catalytic subunit mak3-like protein ,2
662,W8CA96,TrEMBL,N-alpha-acetyltransferase 30 ,2
663,A0A0L7KTT7,TrEMBL,Putative acetyltransferase C complex catalytic subunit Mak3 ,2
664,W1PET0,TrEMBL,Uncharacterized protein ,2
665,A0A0D8XUQ5,TrEMBL,Acetyltransferase,2
666,A0A1Y3B9I2,TrEMBL,Acyltransferase-like protein ,2
667,G0TY36,TrEMBL,Putative N-acetyltransferase ,2
668,A0A0G4H6V7,TrEMBL,Uncharacterized protein ,2
669,F1RAT9,TrEMBL,N(alpha)-acetyltransferase 30,2
670,W7XG48,TrEMBL,GNAT family acetyltransferase ,2
671,B4L3W2,TrEMBL,Uncharacterized protein ,2
672,A0A061RD40,TrEMBL,Peptide alpha-N-acetyltransferase ,2
673,W4XKS4,TrEMBL,Uncharacterized protein ,2
674,A0A0L6V0X6,TrEMBL,Ribosomal-protein-alanine N-acetyltransferase ,2
675,A0A1Z5JQB9,TrEMBL,N-alpha-acetyltransferase 30 ,2
676,A0A0L1KQD4,TrEMBL,Uncharacterized protein ,2
677,A0A015M4D4,TrEMBL,Mak3p ,2
678,W7TKD8,TrEMBL,N-alpha-acetyltransferase catalytic subunit ,2
679,B4M3J9,TrEMBL,Uncharacterized protein,2
680,E4WV11,TrEMBL,Uncharacterized protein ,2
681,A6R762,TrEMBL,Uncharacterized protein ,2
682,F4RK41,TrEMBL,Uncharacterized protein ,2
683,A0A067PIC9,TrEMBL,Uncharacterized protein ,2
684,A0A0C2WPV7,TrEMBL,Uncharacterized protein ,2
685,B5RTK5,TrEMBL,DEHA2D17820p ,2
686,A0A0D2N7R0,TrEMBL,Uncharacterized protein ,2
687,A0A0D2Q511,TrEMBL,Uncharacterized protein ,2
688,B9WFM7,TrEMBL,N-acetyltransferase catalytic subunit,2
689,A0A0D6EGI2,TrEMBL,SPOSA6832_00523-mRNA-1:cds ,2
690,A0A0J8R615,TrEMBL,L-A virus GAG protein N-acetyltransferase ,2
691,A0C0C7,TrEMBL,Uncharacterized protein ,2
692,G4TTL7,TrEMBL,Related to MAK3 N-acetyltransferase ,2
693,W5MZ73,TrEMBL,Uncharacterized protein ,2
694,B2WNW8,TrEMBL,N-terminal acetyltransferase C complex catalytic subunit MAK3 ,2
695,A0A0L0CP23,TrEMBL,N-alpha-acetyltransferase 30 ,2
696,A0A0B6ZXG7,TrEMBL,Uncharacterized protein ,2
697,A0A226MP63,TrEMBL,Uncharacterized protein ,2
698,B8BX56,TrEMBL,N-acetyl transferase ,2
699,F0WHH9,TrEMBL,Acetyltransferase (GNAT) family protein putative ,2
700,W5JNT5,TrEMBL,N-acetyltransferase mak3 ,2
701,A0A0J9XKB7,TrEMBL,Similar to Saccharomyces cerevisiae YPR051W MAK3 Catalytic subunit of N-terminal acetyltransferase of the NatC type ,2
702,A0A261Y8D1,TrEMBL,N-alpha-acetyltransferase 30 ,2
703,G3J3V9,TrEMBL,Acyl-CoA N-acyltransferase ,2
704,A0A0D2WKP0,TrEMBL,N-acetyltransferase 12 ,2
705,A0A0K8VK34,TrEMBL,N-alpha-acetyltransferase 30 ,2
706,G3BCB3,TrEMBL,Acyl-CoA N-acyltransferase ,2
707,A0A0K8TKF1,TrEMBL,Putative n-alpha-acetyltransferase 30-like isoform x1 ,2
708,A0A284RI63,TrEMBL,Related to N-alpha-acetyltransferase 30 ,2
709,A0A0K2UV40,TrEMBL,N(Alpha)acetyltransferase 30,2
710,A0A250XB55,TrEMBL,Uncharacterized protein ,2
711,A7TL56,TrEMBL,Uncharacterized protein ,2
712,A0A0L0G982,TrEMBL,Uncharacterized protein ,2
713,G4UVK8,TrEMBL,GAG protein N-acetyltransferase ,2
714,F1LC39,TrEMBL,N-alpha-acetyltransferase 30,2
715,A0A067RC99,TrEMBL,N-acetyltransferase MAK3-like protein ,2
716,G8BNH3,TrEMBL,Uncharacterized protein ,2
717,F0ZY41,TrEMBL,Uncharacterized protein ,2
718,A0A218W637,TrEMBL,Uncharacterized protein ,2
719,A0A224XT35,TrEMBL,Putative n-alpha-acetyltransferase 30 ,2
720,A0A066VVP1,TrEMBL,Acyl-CoA N-acyltransferase ,2
721,G7E9Y5,TrEMBL,Uncharacterized protein ,2
722,A0A0J0XM49,TrEMBL,Acyl-CoA N-acyltransferase ,2
723,A0A225ACB3,TrEMBL,N-alpha-acetyltransferase 30 ,2
724,E5SDV2,TrEMBL,N-alpha-acetyltransferase 30 ,2
727,A0A226BAW9,TrEMBL,Peptide alpha-N-acetyltransferase ,2
728,B7FNT0,TrEMBL,N-acetyl transferase ,2
729,W6MGU8,TrEMBL,Uncharacterized protein ,2
730,G5A5V8,TrEMBL,Uncharacterized protein ,2
731,W6LEV6,TrEMBL,Uncharacterized protein ,2
733,C1N6U0,TrEMBL,Predicted protein ,2
734,A0A226DCM8,TrEMBL,N-alpha-acetyltransferase 30 ,2
735,C1EGD9,TrEMBL,Uncharacterized protein ,2
736,A0A0D2MX00,TrEMBL,Uncharacterized protein ,2
737,A0A0J5PUK6,TrEMBL,GNAT family acetyltransferase ,2
738,B6K606,TrEMBL,NatC N-acetyltransferase complex catalytic subunit ,2
739,A0A0L8I9X5,TrEMBL,Uncharacterized protein ,2
740,W1QIN3,TrEMBL,Peptide alpha-N-acetyltransferase ,2
741,A9RTC7,TrEMBL,Predicted protein ,2
743,B3MRE9,TrEMBL,Uncharacterized protein ,2
744,A0A0N4U104,TrEMBL,Uncharacterized protein ,2
745,F7BJC7,TrEMBL,Uncharacterized protein ,2
746,A0A0N4TUX6,TrEMBL,Uncharacterized protein ,2
747,A9VAQ2,TrEMBL,Predicted protein ,2
748,B3RK77,TrEMBL,Uncharacterized protein ,2
749,A0A0F4ZDN9,TrEMBL,Uncharacterized protein ,2
750,A0A0C3QKE5,TrEMBL,Uncharacterized protein ,2
751,B4I9C2,TrEMBL,GM19126 ,2
752,D5A859,TrEMBL,Uncharacterized protein ,2
753,A0A0N1H531,TrEMBL,N-alpha-acetyltransferase 30 ,2
754,V5GEG5,TrEMBL,N-alpha-acetyltransferase 30 ,2
755,A0A0F7S614,TrEMBL,Uncharacterized protein ,2
756,A0A0C3TMU8,TrEMBL,Uncharacterized protein ,2
757,D3BIX7,TrEMBL,Uncharacterized protein ,2
758,A8X319,TrEMBL,Protein CBG06776 ,2
759,A0A0M9G9U5,TrEMBL,Uncharacterized protein ,2
760,F6WJZ0,TrEMBL,N-alpha-acetyltransferase 30 ,2
761,A0A0F7SYK9,TrEMBL,N-acetyltransferase ,2
762,A8Q391,TrEMBL,Uncharacterized protein ,2
763,B4DK34,TrEMBL,N-acetyltransferase 12,2
764,A0A1Y2F7D1,TrEMBL,Acyl-CoA N-acyltransferase ,2
765,H3F4D5,TrEMBL,Uncharacterized protein ,2
766,D5G551,TrEMBL,Uncharacterized protein ,2
767,B0EUZ1,TrEMBL,N-terminal acetyltransferase C complex catalytic subunit MAK3,2
768,I0YKQ6,TrEMBL,Putative acyltransfersase ,2
769,A0A0N5A9I9,TrEMBL,Uncharacterized protein ,2
770,A0A0C3BX04,TrEMBL,Uncharacterized protein ,2
771,A0A0C3CXF4,TrEMBL,Uncharacterized protein ,2
772,B3KS28,TrEMBL,cDNA FLJ35355 fis,2
773,D8U166,TrEMBL,Uncharacterized protein ,2
774,D8LTF7,TrEMBL,Uncharacterized protein ,2
775,H9JG47,TrEMBL,Uncharacterized protein ,2
776,A0A074WPS7,TrEMBL,Acyl-CoA N-acyltransferase ,2
777,H9G450,TrEMBL,Uncharacterized protein ,2
778,A0A1Y2CG27,TrEMBL,Acyl-CoA N-acyltransferase ,2
779,A0A0E9NE74,TrEMBL,Uncharacterized protein ,2
780,V4U7U7,TrEMBL,Uncharacterized protein ,2
781,E0VIN5,TrEMBL,N-terminal acetyltransferase C complex catalytic subunit Mak3,2
782,B3M8G6,TrEMBL,Uncharacterized protein ,2
783,A0A0N4V884,TrEMBL,Uncharacterized protein ,2
784,V4W2N4,TrEMBL,Uncharacterized protein ,2
785,A0A1Y2AY16,TrEMBL,Acyl-CoA N-acyltransferase ,2
786,V5CKM9,TrEMBL,Uncharacterized protein ,2
787,A0A016UDS6,TrEMBL,Uncharacterized protein ,2
788,V5EB25,TrEMBL,Uncharacterized protein ,2
789,A0A0F4GVC3,TrEMBL,Uncharacterized protein ,2
790,A0A0C3B6F9,TrEMBL,Uncharacterized protein ,2
791,F6UW04,TrEMBL,N(alpha)-acetyltransferase 30,2
792,A0A0K6G399,TrEMBL,Uncharacterized protein ,2
793,A0A0G2E5Y0,TrEMBL,Putative l-a virus gag protein n-acetyltransferase ,2
794,V8PIT6,TrEMBL,N-alpha-acetyltransferase 30 ,2
795,A0A0M4EGV4,TrEMBL,CG32319 ,2
796,A0A068Y829,TrEMBL,N acetyltransferase mak3 ,2
797,A0A0M4EHU2,TrEMBL,CG11412 ,2
798,C9ZRK1,TrEMBL,N-acetyltransferase,2
799,B4GTN2,TrEMBL,GL14242 ,2
800,A0A1Y2HN16,TrEMBL,Acyl-CoA N-acyltransferase ,2
801,W0TGI6,TrEMBL,N-alpha-acetyltransferase 30 ,2
802,A0A0M8MNU2,TrEMBL,Mak3 n-acetyltransferase ,2
803,H2TWK2,TrEMBL,Uncharacterized protein ,2
804,H2AYV9,TrEMBL,Uncharacterized protein ,2
805,V9KFE5,TrEMBL,N-alpha-acetyltransferase 30,2
806,G0QZ49,TrEMBL,Uncharacterized protein ,2
807,A8NJN8,TrEMBL,Uncharacterized protein ,2
808,B4E2G1,TrEMBL,cDNA FLJ55379,2
809,H2MJU6,TrEMBL,Uncharacterized protein ,2
810,D1ZZY8,TrEMBL,N-alpha-acetyltransferase 30-like Protein ,2
811,H3BI42,TrEMBL,Uncharacterized protein ,2
812,V6LQP5,TrEMBL,Acetyltransferase,2
813,A0A1Y2LZQ4,TrEMBL,Uncharacterized protein ,2
814,A0A0C9Q4R6,TrEMBL,NAA30 protein ,2
815,A0A0C9U153,TrEMBL,Unplaced genomic scaffold SPHSTscaffold_788,2
816,A0A1Y2G6Y0,TrEMBL,Acyl-CoA N-acyltransferase ,2
817,A0A0D9XSJ6,TrEMBL,Uncharacterized protein ,2
818,X6NRK5,TrEMBL,Uncharacterized protein ,2
819,A0A163JSP1,TrEMBL,Glucosamine 6-phosphate N-acetyltransferase ,3
820,A0A1R0H1I3,TrEMBL,Glucosamine 6-phosphate N-acetyltransferase ,3
821,A0A164R287,TrEMBL,Glucosamine 6-phosphate N-acetyltransferase ,3
822,R4XGJ1,TrEMBL,Glucosamine 6-phosphate N-acetyltransferase ,3
823,F4S337,TrEMBL,Glucosamine 6-phosphate N-acetyltransferase ,3
824,W9Y205,TrEMBL,Glucosamine 6-phosphate N-acetyltransferase ,3
825,A0A0B7ND64,TrEMBL,Glucosamine 6-phosphate N-acetyltransferase ,3
826,M2T3W4,TrEMBL,Uncharacterized protein ,3
827,A0A1E3PIV3,TrEMBL,Glucosamine 6-phosphate N-acetyltransferase ,3
828,A0A167E3L7,TrEMBL,Glucosamine 6-phosphate N-acetyltransferase ,3
829,A0A0J9WJB2,TrEMBL,Glucosamine 6-phosphate N-acetyltransferase ,3
830,A0A177VV29,TrEMBL,Glucosamine 6-phosphate N-acetyltransferase ,3
831,A0A0A1TC25,TrEMBL,Glucosamine 6-phosphate N-acetyltransferase ,3
